;distrito;media_m2;num_pisos;media_hab;porc_reformar;porc_inmobiliaria;porc_parking;porc_ascensor;porc_piscina;porc_terraza;porc_jardin;a_reformar_por100;media_planta;30-70;71-86;87-99;100-118;119-148;149-750;precio_medio_vendidos;dias_medio_casa_vendidos;pisos_vendidos;porc_vendidos;mprecio_piso_inmobiliaria;mprecio_piso_particular;media_baÒos;num_locales;precio_medio_locales;dias_medio_locales_vendidos;precio_medio_locales_vendidos;precio_desv_locales_vendidos;num_parques;num_metrovalencia;num_bus;densidad;precio_medio_garajes;num_garajes;superficie_total_aparcamientos;precio_desv_garajes;media_baÒos
1;algir√≥s;113,3727811;169;3,331360947;8,875739645;90,53254438;29,58579882;95,26627219;3,550295858;30,76923077;2,958579882;8,88;5,964497041;5,325443787;15,38461538;30,17751479;22,4852071;23,66863905;2,958579882;222009,8361;19,90163934;61;36,09467456;251347,0523;260750;1,798816568;107;143668,1589;3,213114754;56981,67213;312195,0019;3;4;48;201,3;15223,11579;95;334445;11771,02341;1,808743183
2;benicalap;94,27257384;237;2,751054852;8,438818565;93,24894515;29,53586498;70,88607595;19,4092827;31,64556962;21,94092827;8,44;3,82278481;27,84810127;20,67510549;19,4092827;22,3628692;8,438818565;1,265822785;162529;16,34117647;85;35,8649789;171736,5928;174731,25;1,485232068;89;94936,76404;3,315789474;5981,184211;16859,66033;2;5;43;4,4;12950;4;292661;5345,091206;1,564103312
3;benimaclet;109,6545455;55;3,236363636;14,54545455;83,63636364;12,72727273;63,63636364;1,818181818;32,72727273;1,818181818;14,55;3,8;16,36363636;7,272727273;23,63636364;34,54545455;14,54545455;3,636363636;179619;20,42857143;21;38,18181818;194058,4783;204611;1,727272727;91;106648,5055;2,825396825;33695,46032;233067,7957;1;3;33;57;18204,65116;43;207875;11295,92644;1,71641867
4;camins al grau;115,7095238;210;2,904761905;5,714285714;91,42857143;32,85714286;85,71428571;12,38095238;36,19047619;9,047619048;5,71;4,795238095;18,0952381;22,85714286;10,47619048;21,42857143;16,66666667;10,47619048;236758,0952;16,29761905;84;40;315001,4531;284194,4444;1,69047619;152;188375,3553;2,724637681;13588,10145;57164,56008;4;2;66;243,2;18351,64935;77;669575;24171,10555;1,660079253
5;campanar;128,3004484;223;2,98206278;5,381165919;86,5470852;61,43497758;94,61883408;56,95067265;61,43497758;41,70403587;5,38;5,753363229;13,0044843;11,21076233;15,24663677;19,28251121;22,86995516;18,38565022;296165,4074;13,2962963;81;36,32286996;349712,228;300133,3333;1,856502242;89;94322,8764;2,933333333;5167,433333;19108,13026;3;2;64;278,8;18913,06383;141;568928;7781,728309;1,864964274
6;ciutat vella;164,2178218;808;3,446782178;21,16336634;95,17326733;19,55445545;81,55940594;0,495049505;35,64356436;1,98019802;21,16;3,748762376;11,88118812;7,301980198;10,14851485;9,034653465;20,91584158;40,71782178;464481,8291;24,44444444;234;28,96039604;531937,7022;413981,7692;2,091584158;248;133621,7258;2,708609272;6068,198675;31216,75721;6;1;40;123;15876,76056;71;375936;6133,37958;2,09318288
7;el pla del real;175,2322275;211;3,720379147;12,32227488;90,99526066;47,86729858;99,52606635;0,947867299;57,34597156;5,687203791;12,32;5,436018957;2,369668246;3,791469194;12,79620853;12,32227488;26,54028436;42,18009479;572232,2963;29,14814815;81;38,38862559;572819,8542;367736,8421;2,464454976;85;182684,2471;3;32657,53488;118725,1238;6;3;58;162,9;38832,8046;87;401537;23320,68459;2,43478323
8;extramurs;130,756871;473;3,205073996;14,37632135;90,90909091;19,02748414;87,31501057;2,959830867;31,28964059;2,325581395;14,38;3,241014799;11,83932347;11,205074;15,01057082;12,68498943;32,13530655;17,12473573;279676,0904;23,56024096;166;35,09513742;312049,9302;283252,3256;1,818181818;231;103242,0779;2,77443609;6828,736842;26622,74993;2;5;57;182;22028,54286;35;480815;8601,514037;1,812749502
9;jes√∫s;99,85927673;318;3,047169811;9,119496855;94,33962264;22,64150943;73,27044025;3,144654088;23,89937107;3,773584906;9,12;3,959119497;20,44025157;18,55345912;26,41509434;18,23899371;14,46540881;1,886792453;129737,9217;15,50434783;115;36,16352201;145663,9033;136666,6111;1,477987421;161;108944,559;2,678571429;14266,55357;74705,5678;1;1;56;175,8;17771,69811;53;311263;8235,462188;1,453258353
10;l'eixample;166,6899441;716;3,664804469;19,69273743;94,83240223;20,25139665;93,01675978;0;30,30726257;4,888268156;19,69;3,641061453;5,726256983;6,424581006;10,19553073;9,916201117;24,58100559;43,15642458;494670,6905;24,15714286;210;29,32960894;571754,1826;414447,2973;2,188547486;181;169523,547;2,870689655;22470,0431;83931,32457;1;0;59;213,8;15870,63291;79;499371;7270,90974;2,206941778
11;l'olivereta;91,59004149;241;3;8,713692946;92,94605809;11,61825726;75,93360996;0;20,74688797;0,829875519;8,71;3,46473029;30,70539419;19,50207469;18,67219917;24,4813278;6,22406639;0,414937759;116718,5556;19,1;90;37,34439834;134304,8571;153235,2941;1,456431535;135;99986,03704;3,818181818;31070,81818;61217,25907;4;2;63;181,1;28861,86885;61;290763;34295,68427;1,400709282
12;la sa√Ødia;95,93717277;191;2,931937173;14,65968586;92,67015707;18,32460733;84,29319372;0,523560209;22,51308901;0,523560209;14,66;3,282722513;17,27748691;32,46073298;23,56020942;16,7539267;6,282722513;3,664921466;150541,3187;20,52747253;91;47,64397906;162764,2599;272778,5714;1,45026178;151;104207,3113;3,554054054;12418,72973;31640,37215;5;5;50;73,8;20562,1157;121;297673;44089,54723;1,438298235
13;patraix;103,2809668;331;2,98489426;6,64652568;96,37462236;20,84592145;89,12386707;5,438066465;28,39879154;5,135951662;6,65;3,314199396;10,57401813;12,68882175;38,06646526;25,67975831;12,08459215;0,906344411;156834,2171;21,28289474;152;45,92145015;169097,8997;175750;1,52265861;174;153548,2644;2,916666667;1021,111111;1159,726844;1;3;44;247,1;26341,43925;107;398734;10845,55273;1,516393366
14;poblats mar√≠tims;94,99576108;519;2,834296724;8,670520231;95,18304432;12,33140655;63,96917148;0,963391137;24,6628131;2,504816956;8,67;2,984585742;30,44315992;17,72639692;22,92870906;16,95568401;7,707129094;4,238921002;184866,789;25,58227848;237;45,66473988;182431,7915;209919,92;1,583815029;132;147095,2727;2,964285714;7811,232143;23536,30908;3;10;99;247,3;44906,06061;33;201691;117984,3235;1,491830612
15;pobles de l'oest;104,1896552;58;2,896551724;18,96551724;89,65517241;17,24137931;41,37931034;3,448275862;22,4137931;5,172413793;18,97;2,810344828;29,31034483;20,68965517;27,5862069;10,34482759;8,620689655;3,448275862;102860,5556;10,61111111;18;31,03448276;117347,6731;104083,3333;1,413793103;58;68567,67241;3,75;9231,25;25821,7176;3;5;24;65,6;16761,73529;102;221196;9181,474185;1,48611172
16;pobles del nord;117,3076923;13;3,538461538;15,38461538;84,61538462;38,46153846;46,15384615;23,07692308;30,76923077;15,38461538;15,38;2,230769231;7,692307692;0;7,692307692;53,84615385;30,76923077;0;105833,3333;12;3;23,07692308;150945,4545;102500;1,923076923;5;292000;0;0;0;1;2;42;3,2;14350;9;68172;10749,65116;1,84210519
17;pobles del sud;98,86528497;193;2,797927461;10,3626943;83,41968912;38,86010363;72,02072539;25,90673575;40,93264249;20,20725389;10,36;3,85492228;19,68911917;24,35233161;21,76165803;19,17098446;12,43523316;2,590673575;130124,8036;25,33928571;56;29,01554404;145694,6398;166012,5;1,455958549;34;124773,9706;3,416666667;6451,25;20014,16;1;2;96;205,9;14980,73684;57;171864;6154,795162;1,454936233
18;quatre carreres;104,1260997;341;2,818181818;5,865102639;90,90909091;24,63343109;85,92375367;20,52785924;25,51319648;8,797653959;5,87;4,604105572;14,07624633;21,40762463;28,4457478;23,75366569;9,677419355;2,639296188;175171,4161;28,8590604;149;43,69501466;202497,5645;216403,2258;1,530791789;222;131627,2117;2,854545455;6146,7;36916,60867;2;0;150;247,3;37261,07368;95;544685;16752,04952;1,596154416
19;rascanya;89,58376623;308;3,003246753;8,441558442;91,88311688;16,23376623;70,12987013;5,194805195;25,64935065;4,87012987;8,44;3,159090909;29,22077922;27,5974026;21,1038961;12,98701299;8,441558442;0,649350649;126085,3561;20,56818182;132;42,85714286;122079,0177;146600;1,36038961;156;76765,94872;3,49122807;11478,73684;47631,24614;1;6;58;72,3;7890;18;317280;3616,161436;1,335121373
